Sentence,Entities
"Coca-Cola's headquarters are in Atlanta, Georgia.","[(0, 9, 'ORG'), (28, 35, 'LOC'), (37, 44, 'LOC')]"
"Bill Gates is one of the richest people in the world.","[(0, 10, 'PERSON')]"
"Tesla's new Roadster is incredibly fast.","[(0, 6, 'ORG'), (11, 19, 'PRODUCT')]"
"Mark Zuckerberg created Facebook while at Harvard.","[(0, 14, 'PERSON'), (24, 32, 'ORG'), (43, 50, 'LOC')]"
"Google's Chrome browser is widely used.","[(0, 6, 'ORG'), (8, 14, 'PRODUCT')]"
"Amazon's AWS is a leader in cloud services.","[(0, 6, 'ORG'), (8, 11, 'ORG')]"
"Steve Wozniak co-founded Apple.","[(0, 12, 'PERSON'), (24, 29, 'ORG')]"
"The Colosseum is a historic landmark in Rome.","[(4, 14, 'LOC'), (39, 43, 'LOC')]"
"The Googleplex is located in Mountain View.","[(4, 15, 'LOC'), (31, 44, 'LOC')]"
"Amazon Kindle is a popular e-reader.","[(0, 6, 'ORG'), (7, 13, 'PRODUCT')]"
"Siri is Apple's voice-activated assistant.","[(0, 4, 'ORG'), (8, 13, 'ORG')]"
"Disneyland is located in Anaheim, California.","[(0, 10, 'LOC'), (22, 29, 'LOC'), (31, 41, 'LOC')]"
"Tim Cook is the CEO of Apple.","[(0, 8, 'PERSON'), (24, 29, 'ORG')]"
"Amazon's Alexa is a virtual assistant.","[(0, 6, 'ORG')]"
